,periode_data,bulan,tanggal,stasiun,pm_sepuluh,pm_duakomalima,sulfur_dioksida,karbon_monoksida,ozon,nitrogen_dioksida,max,parameter_pencemar_kritis,kategori
3,202401,1,24/01/2024,DKI3 Jagakarsa,46,65,46,8,9,38,65,PM25,SEDANG
4,202401,1,25/01/2024,DKI3 Jagakarsa,37,55,47,7,11,28,55,PM25,SEDANG
5,202401,1,26/01/2024,DKI3 Jagakarsa,43,62,50,7,15,14,62,PM25,SEDANG
6,202401,1,27/01/2024,DKI3 Jagakarsa,40,52,48,8,12,10,52,PM25,SEDANG
7,202401,1,28/01/2024,DKI3 Jagakarsa,40,62,48,12,12,18,62,PM25,SEDANG
8,202401,1,29/01/2024,DKI3 Jagakarsa,33,44,47,14,12,24,47,SO2,BAIK
9,202401,1,30/01/2024,DKI3 Jagakarsa,58,46,48,22,12,33,58,PM10,SEDANG
10,202401,1,31/01/2024,DKI3 Jagakarsa,37,47,7,26,17,17,47,PM25,BAIK
11,202401,1,09/01/2024,DKI2 Kelapa Gading,51,68,58,16,18,53,68,PM25,SEDANG
12,202401,1,10/01/2024,DKI2 Kelapa Gading,56,77,61,11,31,43,77,PM25,SEDANG
13,202401,1,11/01/2024,DKI2 Kelapa Gading,44,54,56,11,19,27,56,SO2,SEDANG
14,202401,1,12/01/2024,DKI2 Kelapa Gading,27,39,57,11,14,52,57,SO2,SEDANG
15,202401,1,13/01/2024,DKI2 Kelapa Gading,35,54,57,10,16,28,57,SO2,SEDANG
16,202401,1,14/01/2024,DKI2 Kelapa Gading,37,51,57,8,16,22,57,SO2,SEDANG
17,202401,1,15/01/2024,DKI2 Kelapa Gading,52,67,58,12,14,32,67,PM25,SEDANG
18,202401,1,01/01/2024,DKI1 Bundaran Hotel Indonesia (HI),64,89,52,9,13,30,89,PM25,SEDANG
19,202401,1,02/01/2024,DKI1 Bundaran Hotel Indonesia (HI),53,93,52,4,12,28,93,PM25,SEDANG
20,202401,1,03/01/2024,DKI1 Bundaran Hotel Indonesia (HI),52,57,52,6,12,27,57,PM25,SEDANG
22,202401,1,05/01/2024,DKI1 Bundaran Hotel Indonesia (HI),22,54,46,15,24,44,54,PM25,SEDANG
23,202401,1,06/01/2024,DKI1 Bundaran Hotel Indonesia (HI),49,68,46,12,38,36,68,PM25,SEDANG
24,202401,1,07/01/2024,DKI1 Bundaran Hotel Indonesia (HI),52,77,45,14,34,44,77,PM25,SEDANG
25,202401,1,08/01/2024,DKI1 Bundaran Hotel Indonesia (HI),49,52,46,10,27,32,52,PM25,SEDANG
26,202401,1,09/01/2024,DKI1 Bundaran Hotel Indonesia (HI),50,62,48,13,25,31,62,PM25,SEDANG
27,202401,1,10/01/2024,DKI1 Bundaran Hotel Indonesia (HI),49,66,49,10,34,41,66,PM25,SEDANG
28,202401,1,11/01/2024,DKI1 Bundaran Hotel Indonesia (HI),51,58,47,10,24,36,58,PM25,SEDANG
29,202401,1,12/01/2024,DKI1 Bundaran Hotel Indonesia (HI),30,26,45,8,18,21,45,SO2,BAIK
30,202401,1,13/01/2024,DKI1 Bundaran Hotel Indonesia (HI),34,53,46,8,25,25,53,PM25,SEDANG
31,202401,1,14/01/2024,DKI1 Bundaran Hotel Indonesia (HI),39,49,45,6,20,20,49,PM25,BAIK
32,202401,1,15/01/2024,DKI1 Bundaran Hotel Indonesia (HI),55,72,47,10,21,30,72,PM25,SEDANG
33,202401,1,16/01/2024,DKI1 Bundaran Hotel Indonesia (HI),41,47,48,10,25,24,48,SO2,BAIK
34,202401,1,17/01/2024,DKI1 Bundaran Hotel Indonesia (HI),45,54,51,8,16,30,54,PM25,SEDANG
35,202401,1,18/01/2024,DKI1 Bundaran Hotel Indonesia (HI),45,58,47,11,14,27,58,PM25,SEDANG
38,202401,1,21/01/2024,DKI1 Bundaran Hotel Indonesia (HI),36,50,46,6,15,14,50,PM25,BAIK
39,202401,1,22/01/2024,DKI1 Bundaran Hotel Indonesia (HI),24,26,44,3,17,11,44,SO2,BAIK
40,202401,1,23/01/2024,DKI1 Bundaran Hotel Indonesia (HI),20,38,44,5,15,12,44,SO2,BAIK
41,202401,1,24/01/2024,DKI1 Bundaran Hotel Indonesia (HI),31,37,45,8,14,14,45,SO2,BAIK
42,202401,1,25/01/2024,DKI1 Bundaran Hotel Indonesia (HI),43,56,48,11,14,22,56,PM25,SEDANG
43,202401,1,26/01/2024,DKI1 Bundaran Hotel Indonesia (HI),39,59,48,9,17,26,59,PM25,SEDANG
45,202401,1,28/01/2024,DKI1 Bundaran Hotel Indonesia (HI),35,53,45,13,17,30,53,PM25,SEDANG
47,202401,1,30/01/2024,DKI1 Bundaran Hotel Indonesia (HI),39,67,46,31,14,28,67,PM25,SEDANG
48,202401,1,31/01/2024,DKI1 Bundaran Hotel Indonesia (HI),25,49,47,19,24,30,49,PM25,BAIK
52,202401,1,04/01/2024,DKI2 Kelapa Gading,42,62,57,10,22,20,62,PM25,SEDANG
53,202401,1,05/01/2024,DKI2 Kelapa Gading,38,55,56,14,16,45,56,SO2,SEDANG
54,202401,1,06/01/2024,DKI2 Kelapa Gading,46,68,58,9,29,26,68,PM25,SEDANG
55,202401,1,07/01/2024,DKI2 Kelapa Gading,59,87,59,14,34,29,87,PM25,SEDANG
56,202401,1,08/01/2024,DKI2 Kelapa Gading,44,55,57,11,19,23,57,SO2,SEDANG
57,202401,1,16/01/2024,DKI2 Kelapa Gading,29,50,58,6,14,32,58,SO2,SEDANG
58,202401,1,17/01/2024,DKI2 Kelapa Gading,35,51,59,8,12,44,59,SO2,SEDANG
59,202401,1,18/01/2024,DKI2 Kelapa Gading,47,58,57,15,12,44,58,PM25,SEDANG
60,202401,1,19/01/2024,DKI2 Kelapa Gading,21,32,56,8,12,21,56,SO2,SEDANG
61,202401,1,20/01/2024,DKI2 Kelapa Gading,25,32,54,7,13,18,54,SO2,SEDANG
62,202401,1,21/01/2024,DKI2 Kelapa Gading,31,48,54,8,13,18,54,SO2,SEDANG
63,202401,1,22/01/2024,DKI2 Kelapa Gading,21,30,53,6,13,11,53,SO2,SEDANG
64,202401,1,23/01/2024,DKI2 Kelapa Gading,29,38,53,6,12,14,53,SO2,SEDANG
65,202401,1,24/01/2024,DKI2 Kelapa Gading,29,41,53,7,13,17,53,SO2,SEDANG
66,202401,1,25/01/2024,DKI2 Kelapa Gading,40,58,55,9,14,38,58,PM25,SEDANG
67,202401,1,26/01/2024,DKI2 Kelapa Gading,55,69,59,7,14,43,69,PM25,SEDANG
68,202401,1,27/01/2024,DKI2 Kelapa Gading,24,23,53,5,16,17,53,SO2,SEDANG
69,202401,1,28/01/2024,DKI2 Kelapa Gading,39,55,54,15,14,47,55,PM25,SEDANG
70,202401,1,29/01/2024,DKI2 Kelapa Gading,37,51,53,12,13,48,53,SO2,SEDANG
72,202401,1,31/01/2024,DKI2 Kelapa Gading,25,44,53,8,19,26,53,SO2,SEDANG
73,202401,1,01/01/2024,DKI4 Lubang Buaya,74,110,10,20,24,10,110,PM25,TIDAK SEHAT
74,202401,1,02/01/2024,DKI4 Lubang Buaya,56,80,12,11,27,13,80,PM25,SEDANG
75,202401,1,03/01/2024,DKI4 Lubang Buaya,54,66,13,7,18,14,66,PM25,SEDANG
76,202401,1,04/01/2024,DKI4 Lubang Buaya,53,72,13,10,20,15,72,PM25,SEDANG
77,202401,1,05/01/2024,DKI4 Lubang Buaya,61,62,10,14,17,19,62,PM25,SEDANG
78,202401,1,06/01/2024,DKI4 Lubang Buaya,51,70,11,10,31,16,70,PM25,SEDANG
79,202401,1,07/01/2024,DKI4 Lubang Buaya,62,84,10,15,23,19,84,PM25,SEDANG
80,202401,1,08/01/2024,DKI4 Lubang Buaya,55,76,10,22,21,20,76,PM25,SEDANG
81,202401,1,09/01/2024,DKI4 Lubang Buaya,61,84,12,14,17,14,84,PM25,SEDANG
82,202401,1,10/01/2024,DKI4 Lubang Buaya,70,102,12,11,26,13,102,PM25,TIDAK SEHAT
83,202401,1,11/01/2024,DKI4 Lubang Buaya,63,81,11,16,17,19,81,PM25,SEDANG
84,202401,1,12/01/2024,DKI4 Lubang Buaya,37,49,10,11,10,8,49,PM25,BAIK
85,202401,1,13/01/2024,DKI4 Lubang Buaya,45,62,10,10,15,13,62,PM25,SEDANG
86,202401,1,14/01/2024,DKI4 Lubang Buaya,50,64,11,9,16,10,64,PM25,SEDANG
87,202401,1,15/01/2024,DKI4 Lubang Buaya,58,78,10,12,15,15,78,PM25,SEDANG
88,202401,1,16/01/2024,DKI4 Lubang Buaya,49,62,11,6,11,9,62,PM25,SEDANG
89,202401,1,17/01/2024,DKI4 Lubang Buaya,42,56,10,7,8,9,56,PM25,SEDANG
90,202401,1,18/01/2024,DKI4 Lubang Buaya,53,67,13,13,6,12,67,PM25,SEDANG
91,202401,1,19/01/2024,DKI4 Lubang Buaya,30,36,24,7,6,8,36,PM25,BAIK
92,202401,1,20/01/2024,DKI4 Lubang Buaya,28,46,24,8,7,8,46,PM25,BAIK
93,202401,1,21/01/2024,DKI4 Lubang Buaya,50,64,24,8,7,6,64,PM25,SEDANG
94,202401,1,22/01/2024,DKI4 Lubang Buaya,31,50,24,4,7,3,50,PM25,BAIK
95,202401,1,23/01/2024,DKI4 Lubang Buaya,36,58,24,5,9,6,58,PM25,SEDANG
96,202401,1,24/01/2024,DKI4 Lubang Buaya,46,61,24,6,7,6,61,PM25,SEDANG
97,202401,1,25/01/2024,DKI4 Lubang Buaya,46,62,25,7,12,8,62,PM25,SEDANG
98,202401,1,26/01/2024,DKI4 Lubang Buaya,58,77,27,7,16,14,77,PM25,SEDANG
99,202401,1,27/01/2024,DKI4 Lubang Buaya,38,47,24,5,11,10,47,PM25,BAIK
100,202401,1,28/01/2024,DKI4 Lubang Buaya,43,59,24,16,10,14,59,PM25,SEDANG
101,202401,1,29/01/2024,DKI4 Lubang Buaya,51,63,24,14,11,13,63,PM25,SEDANG
102,202401,1,30/01/2024,DKI4 Lubang Buaya,71,82,24,23,13,12,82,PM25,SEDANG
103,202401,1,31/01/2024,DKI4 Lubang Buaya,40,57,25,7,17,15,57,PM25,SEDANG
104,202401,1,01/01/2024,DKI5 Kebon Jeruk Jakarta Barat,58,99,40,18,55,12,99,PM25,SEDANG
105,202401,1,02/01/2024,DKI5 Kebon Jeruk Jakarta Barat,40,68,40,9,65,11,68,PM25,SEDANG
106,202401,1,03/01/2024,DKI5 Kebon Jeruk Jakarta Barat,32,54,39,7,63,10,63,O3,SEDANG
107,202401,1,04/01/2024,DKI5 Kebon Jeruk Jakarta Barat,38,59,46,10,55,12,59,PM25,SEDANG
108,202401,1,05/01/2024,DKI5 Kebon Jeruk Jakarta Barat,30,52,37,15,48,15,52,PM25,SEDANG
109,202401,1,06/01/2024,DKI5 Kebon Jeruk Jakarta Barat,32,64,39,12,61,14,64,PM25,SEDANG
112,202401,1,09/01/2024,DKI5 Kebon Jeruk Jakarta Barat,54,81,21,18,35,3,81,PM25,SEDANG
113,202401,1,10/01/2024,DKI5 Kebon Jeruk Jakarta Barat,43,73,18,11,70,7,73,PM25,SEDANG
114,202401,1,11/01/2024,DKI5 Kebon Jeruk Jakarta Barat,37,60,12,57,51,6,60,PM25,SEDANG
115,202401,1,12/01/2024,DKI5 Kebon Jeruk Jakarta Barat,28,20,11,6,43,4,43,O3,BAIK
116,202401,1,13/01/2024,DKI5 Kebon Jeruk Jakarta Barat,25,52,21,8,38,6,52,PM25,SEDANG
117,202401,1,14/01/2024,DKI5 Kebon Jeruk Jakarta Barat,30,50,19,8,58,6,58,O3,SEDANG
118,202401,1,15/01/2024,DKI5 Kebon Jeruk Jakarta Barat,51,81,24,11,55,11,81,PM25,SEDANG
119,202401,1,16/01/2024,DKI5 Kebon Jeruk Jakarta Barat,23,49,24,5,43,6,49,PM25,BAIK
120,202401,1,17/01/2024,DKI5 Kebon Jeruk Jakarta Barat,34,57,39,7,47,8,57,PM25,SEDANG
121,202401,1,18/01/2024,DKI5 Kebon Jeruk Jakarta Barat,37,56,25,8,39,8,56,PM25,SEDANG
122,202401,1,19/01/2024,DKI5 Kebon Jeruk Jakarta Barat,16,29,19,6,46,6,46,O3,BAIK
123,202401,1,20/01/2024,DKI5 Kebon Jeruk Jakarta Barat,17,28,33,7,23,6,33,SO2,BAIK
124,202401,1,21/01/2024,DKI5 Kebon Jeruk Jakarta Barat,26,51,37,10,18,5,51,PM25,SEDANG
125,202401,1,22/01/2024,DKI5 Kebon Jeruk Jakarta Barat,14,23,31,9,19,2,31,SO2,BAIK
126,202401,1,23/01/2024,DKI5 Kebon Jeruk Jakarta Barat,17,40,31,9,17,3,40,PM25,BAIK
127,202401,1,24/01/2024,DKI5 Kebon Jeruk Jakarta Barat,23,44,32,10,17,3,44,PM25,BAIK
128,202401,1,25/01/2024,DKI5 Kebon Jeruk Jakarta Barat,36,60,38,12,19,4,60,PM25,SEDANG
129,202401,1,26/01/2024,DKI5 Kebon Jeruk Jakarta Barat,27,54,37,10,26,9,54,PM25,SEDANG
130,202401,1,27/01/2024,DKI5 Kebon Jeruk Jakarta Barat,25,28,30,8,35,12,35,O3,BAIK
131,202401,1,28/01/2024,DKI5 Kebon Jeruk Jakarta Barat,46,66,31,18,34,16,66,PM25,SEDANG
132,202401,1,29/01/2024,DKI5 Kebon Jeruk Jakarta Barat,30,53,29,14,35,14,53,PM25,SEDANG
133,202401,1,30/01/2024,DKI5 Kebon Jeruk Jakarta Barat,40,63,29,15,37,16,63,PM25,SEDANG
134,202401,1,31/01/2024,DKI5 Kebon Jeruk Jakarta Barat,22,49,33,9,40,17,49,PM25,BAIK
140,202401,1,06/01/2024,DKI3 Jagakarsa,45,67,15,34,22,3,67,PM25,SEDANG
141,202401,1,07/01/2024,DKI3 Jagakarsa,54,70,15,70,14,24,70,PM25,SEDANG
142,202401,1,08/01/2024,DKI3 Jagakarsa,51,72,15,68,20,15,72,PM25,SEDANG
143,202401,1,09/01/2024,DKI3 Jagakarsa,55,67,15,46,13,22,67,PM25,SEDANG
144,202401,1,10/01/2024,DKI3 Jagakarsa,47,67,34,11,20,42,67,PM25,SEDANG
145,202401,1,11/01/2024,DKI3 Jagakarsa,58,80,35,15,17,43,80,PM25,SEDANG
147,202401,1,13/01/2024,DKI3 Jagakarsa,50,66,44,7,11,55,66,PM25,SEDANG
149,202401,1,15/01/2024,DKI3 Jagakarsa,57,78,43,17,5,54,78,PM25,SEDANG
150,202401,1,16/01/2024,DKI3 Jagakarsa,47,60,44,7,6,57,60,PM25,SEDANG
152,202401,1,18/01/2024,DKI3 Jagakarsa,56,76,49,13,6,23,76,PM25,SEDANG
155,202402,2,22/02/2024,DKI2 Kelapa Gading,58,70,56,9,19,32,70,PM25,SEDANG
156,202402,2,23/02/2024,DKI2 Kelapa Gading,49,62,56,9,16,39,62,PM25,SEDANG
157,202402,2,24/02/2024,DKI2 Kelapa Gading,47,57,55,7,12,40,57,PM25,SEDANG
158,202402,2,25/02/2024,DKI2 Kelapa Gading,28,39,56,4,16,15,56,SO2,SEDANG
159,202402,2,26/02/2024,DKI2 Kelapa Gading,23,30,54,5,18,22,54,SO2,SEDANG
160,202402,2,27/02/2024,DKI2 Kelapa Gading,59,71,55,14,11,68,71,PM25,SEDANG
161,202402,2,28/02/2024,DKI2 Kelapa Gading,51,62,57,9,11,54,62,PM25,SEDANG
162,202402,2,29/02/2024,DKI2 Kelapa Gading,32,35,54,9,13,36,54,SO2,SEDANG
163,202402,2,01/02/2024,DKI3 Jagakarsa,52,71,48,16,16,21,71,PM25,SEDANG
164,202402,2,02/02/2024,DKI3 Jagakarsa,39,53,47,12,10,33,53,PM25,SEDANG
165,202402,2,03/02/2024,DKI3 Jagakarsa,33,45,48,9,9,33,48,SO2,BAIK
166,202402,2,04/02/2024,DKI3 Jagakarsa,31,49,48,5,7,17,49,PM25,BAIK
167,202402,2,05/02/2024,DKI3 Jagakarsa,52,74,49,14,12,40,74,PM25,SEDANG
168,202402,2,06/02/2024,DKI3 Jagakarsa,61,74,50,16,9,37,74,PM25,SEDANG
169,202402,2,07/02/2024,DKI3 Jagakarsa,35,52,48,9,9,28,52,PM25,SEDANG
171,202402,2,09/02/2024,DKI3 Jagakarsa,49,67,54,9,16,17,67,PM25,SEDANG
172,202402,2,10/02/2024,DKI3 Jagakarsa,52,63,51,7,21,8,63,PM25,SEDANG
173,202402,2,11/02/2024,DKI3 Jagakarsa,50,68,50,19,14,52,68,PM25,SEDANG
174,202402,2,12/02/2024,DKI3 Jagakarsa,50,64,50,12,15,19,64,PM25,SEDANG
178,202402,2,16/02/2024,DKI3 Jagakarsa,64,87,53,19,12,22,87,PM25,SEDANG
179,202402,2,17/02/2024,DKI3 Jagakarsa,53,70,52,16,10,12,70,PM25,SEDANG
180,202402,2,18/02/2024,DKI3 Jagakarsa,47,63,50,14,15,8,63,PM25,SEDANG
181,202402,2,19/02/2024,DKI3 Jagakarsa,50,67,49,17,19,12,67,PM25,SEDANG
182,202402,2,20/02/2024,DKI3 Jagakarsa,65,93,50,15,21,13,93,PM25,SEDANG
183,202402,2,21/02/2024,DKI3 Jagakarsa,58,79,49,14,20,17,79,PM25,SEDANG
184,202402,2,22/02/2024,DKI3 Jagakarsa,59,71,48,12,8,17,71,PM25,SEDANG
185,202402,2,23/02/2024,DKI3 Jagakarsa,44,59,49,7,15,14,59,PM25,SEDANG
186,202402,2,24/02/2024,DKI3 Jagakarsa,44,62,49,6,13,29,62,PM25,SEDANG
187,202402,2,25/02/2024,DKI3 Jagakarsa,37,50,50,7,9,16,50,PM25,BAIK
188,202402,2,26/02/2024,DKI3 Jagakarsa,41,56,49,10,12,29,56,PM25,SEDANG
189,202402,2,27/02/2024,DKI3 Jagakarsa,64,88,50,20,14,19,88,PM25,SEDANG
190,202402,2,28/02/2024,DKI3 Jagakarsa,47,62,50,10,11,21,62,PM25,SEDANG
191,202402,2,29/02/2024,DKI3 Jagakarsa,54,13,50,12,12,41,54,PM10,SEDANG
192,202402,2,01/02/2024,DKI4 Lubang Buaya,68,90,25,15,18,14,90,PM25,SEDANG
193,202402,2,02/02/2024,DKI4 Lubang Buaya,50,59,24,10,12,9,59,PM25,SEDANG
195,202402,2,01/02/2024,DKI1 Bunderan HI,52,72,49,17,18,37,72,PM25,SEDANG
196,202402,2,02/02/2024,DKI1 Bunderan HI,50,62,49,12,19,26,62,PM25,SEDANG
197,202402,2,03/02/2024,DKI1 Bunderan HI,33,51,48,10,20,22,51,PM25,SEDANG
198,202402,2,04/02/2024,DKI1 Bunderan HI,24,38,46,9,16,14,46,SO2,BAIK
199,202402,2,05/02/2024,DKI1 Bunderan HI,38,67,47,13,18,28,67,PM25,SEDANG
200,202402,2,06/02/2024,DKI1 Bunderan HI,47,61,47,9,18,32,61,PM25,SEDANG
201,202402,2,07/02/2024,DKI1 Bunderan HI,32,49,49,8,15,22,49,PM25,BAIK
202,202402,2,08/02/2024,DKI1 Bunderan HI,42,60,47,6,15,20,60,PM25,SEDANG
203,202402,2,09/02/2024,DKI1 Bunderan HI,51,72,51,6,21,31,72,PM25,SEDANG
204,202402,2,10/02/2024,DKI1 Bunderan HI,46,57,51,7,28,20,57,PM25,SEDANG
205,202402,2,11/02/2024,DKI1 Bunderan HI,39,57,50,9,23,23,57,PM25,SEDANG
206,202402,2,12/02/2024,DKI1 Bunderan HI,33,54,50,7,25,23,54,PM25,SEDANG
207,202402,2,13/02/2024,DKI1 Bunderan HI,39,52,51,7,26,28,52,PM25,SEDANG
208,202402,2,14/02/2024,DKI1 Bunderan HI,25,38,52,8,26,24,52,SO2,SEDANG
210,202402,2,16/02/2024,DKI1 Bunderan HI,57,73,20,28,20,40,73,PM25,SEDANG
211,202402,2,17/02/2024,DKI1 Bunderan HI,36,50,16,21,23,23,50,PM25,BAIK
212,202402,2,18/02/2024,DKI1 Bunderan HI,38,55,15,20,24,26,55,PM25,SEDANG
